county,county_pop2020,county_fips
Alameda,1685886,6001
Alpine,1117,6003
Amador,38531,6005
Butte,217769,6007
Calaveras,44289,6009
Colusa,22593,6011
Contra Costa,1160099,6013
Del Norte,27558,6015
El Dorado,193098,6017
Fresno,1032227,6019
Glenn,29348,6021
Humboldt,134098,6023
Imperial,191649,6025
Inyo,18453,6027
Kern,927251,6029
Kings,156444,6031
Lake,64871,6033
Lassen,30065,6035
Los Angeles,10257557,6037
Madera,160089,6039
Marin,260800,6041
Mariposa,17795,6043
Mendocino,88439,6045
Merced,287420,6047
Modoc,9475,6049
Mono,13961,6051
Monterey,448732,6053
Napa,139652,6055
Nevada,98710,6057
Orange,3228519,6059
Placer,400434,6061
Plumas,18997,6063
Riverside,2468145,6065
Sacramento,1567975,6067
San Benito,64022,6069
San Bernardino,2217398,6071
San Diego,3370418,6073
San Francisco,892280,6075
San Joaquin,782545,6077
San Luis Obispo,278862,6079
San Mateo,778001,6081
Santa Barbara,456373,6083
Santa Clara,1967585,6085
Santa Cruz,273999,6087
Shasta,177925,6089
Sierra,3115,6091
Siskiyou,43956,6093
Solano,444255,6095
Sonoma,496668,6097
Stanislaus,562303,6099
Sutter,105747,6101
Tehama,65885,6103
Trinity,13354,6105
Tulare,484423,6107
Tuolumne,52351,6109
Ventura,852747,6111
Yolo,223612,6113
Yuba,79290,6115
